-31,-23,-31,-36,-19,-46,-30,-26,-28,-44
-27,-19,-23,-36,-37,-24,-41,-24,-21,-28
-46,-33,-18,-57,-26,-23,-37,-32,-26,-26
-45,-36,-58,-37,-28,-51,-35,-45,-30,-24
-37,-38,-30,-34,-50,-42,-42,-30,-32,-18
-35,-40,-30,-43,-39,-27,-36,-35,-35,-28
-26,-64,-53,-38,-42,-41,-29,-41,-40,-42
-38,-35,-34,-43,-58,-28,-35,-57,-30,-40
-21,-23,-48,-24,-23,-34,-40,-36,-25,-36
-35,-54,-32,-39,-41,-35,-33,-22,-24,-39
-38,-78,-35,-34,-41,-52,-42,-64,-24,-23
-62,-35,-48,-73,-30,-45,-26,-54,-44,-26
-26,-32,-33,-28,-56,-36,-34,-44,-33,-39
-20,-50,-35,-38,-27,-34,-36,-25,-102,-40
-25,-28,-26,-60,-25,-19,-22,-49,-33,-26
-35,-27,-64,-32,-60,-33,-39,-22,-31,-42
-46,-40,-32,-42,-34,-29,-28,-24,-22,-25
-28,-38,-26,-13,-52,-27,-27,-47,-53,-41
-27,-35,-40,-31,-40,-47,-27,-37,-33,-57
-44,-28,-27,-27,-47,-30,-38,-29,-20,-39
-27,-28,-27,-29,-46,-28,-23,-40,-48,-26
-39,-30,-31,-59,-40,-29,-51,-44,-26,-51
-55,-29,-49,-41,-23,-30,-29,-30,-45,-30
-30,-32,-27,-45,-38,-40,-31,-21,-22,-47
-39,-32,-31,-30,-24,-30,-31,-27,-22,-36
-40,-35,-36,-50,-30,-22,-31,-34,-38,-37
-31,-46,-23,-35,-47,-34,-32,-43,-47,-33
-31,-21,-39,-28,-18,-40,-26,-33,-39,-51
-20,-48,-40,-48,-30,-40,-39,-24,-36,-37
-47,-25,-39,-35,-31,-20,-26,-38,-30,-40
-25,-25,-34,-40,-46,-18,-32,-23,-35,-32
-53,-40,-24,-23,-33,-48,-21,-25,-42,-26
-25,-24,-22,-33,-52,-33,-31,-23,-20,-56
-60,-21,-24,-32,-34,-42,-39,-26,-29,-28
-29,-30,-35,-48,-46,-22,-32,-69,-29,-25
-28,-35,-22,-36,-31,-34,-26,-78,-38,-51
-30,-47,-27,-56,-20,-36,-22,-35,-38,-38
-59,-40,-27,-40,-36,-22,-42,-36,-48,-22
-30,-28,-26,-30,-35,-68,-35,-30,-19,-48
-41,-42,-30,-33,-41,-59,-56,-27,-28,-23
-41,-38,-54,-58,-27,-39,-22,-41,-33,-32
-47,-29,-36,-47,-35,-27,-25,-21,-30,-50
-23,-44,-52,-24,-35,-52,-31,-40,-45,-34
-22,-33,-43,-30,-35,-28,-27,-32,-27,-32
-59,-56,-26,-20,-47,-35,-31,-39,-52,-27
-35,-28,-41,-38,-27,-30,-36,-31,-24,-32
-27,-40,-37,-31,-43,-24,-31,-50,-20,-23
-26,-27,-43,-36,-31,-35,-50,-43,-38,-28
-58,-40,-50,-40,-33,-23,-28,-48,-39,-29
-34,-41,-35,-33,-43,-47,-43,-32,-27,-20
-47,-59,-62,-42,-30,-26,-33,-57,-41,-35
-32,-31,-28,-47,-36,-21,-21,-49,-43,-26
-43,-33,-54,-49,-33,-59,-51,-31,-44,-37
-19,-31,-29,-26,-20,-39,-38,-51,-22,-49
-41,-37,-48,-22,-35,-23,-46,-54,-25,-42
-40,-24,-37,-37,-32,-31,-36,-43,-40,-41
-35,-28,-35,-29,-20,-31,-31,-28,-51,-27
-49,-26,-38,-25,-28,-33,-29,-28,-53,-41
-23,-30,-22,-36,-26,-34,-26,-48,-24,-43
-20,-30,-32,-33,-33,-23,-29,-36,-39,-38
-21,-26,-29,-23,-26,-35,-25,-44,-20,-37
-32,-32,-26,-41,-42,-28,-20,-26,-40,-37
-47,-27,-52,-49,-19,-29,-29,-26,-40,-26
-25,-27,-27,-29,-43,-26,-19,-29,-30,-30
-47,-25,-25,-12,-37,-19,-32,-80,-38,-55
-30,-28,-42,-52,-75,-21,-35,-26,-40,-49
-28,-48,-21,-30,-33,-29,-31,-43,-39,-30
-29,-41,-19,-18,-52,-28,-26,-48,-43,-41
-18,-61,-36,-43,-26,-32,-41,-29,-44,-32
-60,-48,-43,-71,-24,-26,-28,-70,-37,-32
-36,-24,-32,-33,-16,-50,-25,-28,-34,-53
-40,-29,-50,-48,-31,-26,-35,-22,-37,-43
-42,-34,-39,-49,-26,-30,-45,-37,-43,-29
-28,-32,-27,-48,-35,-23,-24,-51,-33,-25
-18,-49,-37,-26,-38,-32,-25,-40,-39,-35
-44,-38,-28,-45,-29,-16,-24,-36,-27,-37
-19,-41,-69,-25,-26,-40,-33,-31,-44,-59
-41,-23,-40,-34,-77,-43,-26,-28,-27,-53
-32,-27,-42,-41,-55,-19,-33,-47,-25,-36
-27,-39,-27,-38,-31,-45,-22,-62,-33,-33
-51,-24,-19,-28,-34,-39,-33,-24,-38,-43
-33,-31,-55,-44,-23,-37,-33,-30,-37,-27
-30,-27,-48,-27,-26,-45,-46,-33,-18,-46
-57,-18,-26,-37,-34,-37,-48,-25,-30,-27
-29,-29,-46,-30,-20,-35,-31,-28,-63,-32
