tx_beam,rx_beam,tx_beam_az,rx_beam_az,tx_beam_el,rx_beam_el,mcs,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
0,0,0,0,0,0,1,15,4,7,1,3,-13,0,44,46,34.24638565,-86.65801076,120.9043964
0,1,0,0,0,0,1,15,3,10,7,4,-16,0,44,46,34.24638565,-83.42212067,117.6685063
0,2,0,0,0,0,1,15,4,6,5,3,-13,0,44,46,34.24638565,-86.08351852,120.3299042
0,5,0,0,0,0,1,15,4,8,1,3,-16,0,44,46,34.24638565,-89.98989404,124.2362797
0,6,0,0,0,0,1,15,4,10,0,3,-13,0,44,46,34.24638565,-90.82240729,125.0687929
0,10,0,0,0,0,1,15,4,12,-6,2,-13,0,44,46,34.24638565,-92.69377012,126.9401558
0,15,0,0,0,0,1,15,4,9,-5,2,-14,0,44,46,34.24638565,-90.35517165,124.6015573
0,16,0,0,0,0,1,15,4,8,-2,3,-14,2,44,46,34.24638565,-88.69725045,122.9436361
0,23,0,0,0,0,1,15,0,17,-7,2,-15,0,44,46,34.24638565,-69.41452515,103.6609108
0,24,0,0,0,0,1,15,4,11,-7,2,-15,0,44,46,34.24638565,-92.71728977,126.9636754
0,34,0,0,0,0,1,15,4,7,4,4,-15,0,44,46,34.24638565,-87.91997537,122.166361
0,35,0,0,0,0,1,15,3,10,8,5,-14,0,44,46,34.24638565,-82.56293553,116.8093212
0,36,0,0,0,0,1,15,4,8,-1,3,-17,0,44,46,34.24638565,-90.56659765,124.8129833
0,40,0,0,0,0,1,15,4,13,-6,3,-11,0,44,46,34.24638565,-92.45223506,126.6986207
0,41,0,0,0,0,1,15,4,8,2,3,-13,0,44,46,34.24638565,-88.090473,122.3368586
0,43,0,0,0,0,1,15,4,11,-3,3,-16,0,44,46,34.24638565,-93.28240398,127.5287896
0,44,0,0,0,0,1,15,4,12,-4,3,-10,0,44,46,34.24638565,-91.05665211,125.3030378
0,53,0,0,0,0,1,15,4,8,1,3,-13,0,44,46,34.24638565,-88.090473,122.3368586
0,54,0,0,0,0,1,15,4,7,4,4,-11,0,44,46,34.24638565,-85.38228857,119.6286742
0,55,0,0,0,0,1,15,4,10,1,3,-11.5,0.5,44,46,34.24638565,-89.98269559,124.2290812
0,61,0,0,0,0,1,15,3,8,10,7,-12,0,44,46,34.24638565,-80.19644873,114.4428344
0,62,0,0,0,0,1,15,3,5,12,8,-13,0,44,46,34.24638565,-78.41350726,112.6598929
0,63,0,0,0,0,1,15,4,10,2,3,-10,0,44,46,34.24638565,-89.13633863,123.3827243
0,64,0,0,0,0,1,15,3,11,6,4.5,-12.5,2.5,44,46,34.24638565,-82.85128037,117.097666
0,66,0,0,0,0,1,15,3,6,11,7,-14,0,44,46,34.24638565,-79.68474213,113.9311278
0,67,0,0,0,0,1,15,3,5,12,8,-15,0,44,46,34.24638565,-79.51024875,113.7566344
0,68,0,0,0,0,1,15,3,8,10,6,-15,0,44,46,34.24638565,-81.53052795,115.7769136
0,69,0,0,0,0,1,15,4,4,6,4,-16,0,44,46,34.24638565,-85.494122,119.7405077
0,70,0,0,0,0,1,15,4,11,-4,3,-13,0,44,46,34.24638565,-91.58706133,125.833447
0,71,0,0,0,0,1,15,3,6,11,7,-15,0,44,46,34.24638565,-80.11003455,114.3564202
0,72,0,0,0,0,1,15,2,11,14,9,-14,0,44,46,34.24638565,-77.55502509,111.8014107
0,73,0,0,0,0,1,15,3,6,12,9,-13,0,44,46,34.24638565,-79.25944972,113.5058354
0,74,0,0,0,0,1,15,3,8,10,7,-15,0,44,46,34.24638565,-81.53052795,115.7769136
0,75,0,0,0,0,1,15,4,8,2,3,-14,0,44,46,34.24638565,-88.77633914,123.0227248
0,76,0,0,0,0,1,15,4,5,5,4,-14,0,44,46,34.24638565,-85.34005464,119.5864403
0,77,0,0,0,0,1,15,4,9,3,3,-12,0,44,46,34.24638565,-89.29292826,123.5393139
0,78,0,0,0,0,1,15,4,4,7,4,-12,0,44,46,34.24638565,-83.08141477,117.3278004
0,79,0,0,0,0,1,15,4,7,4,3,-15,0,44,46,34.24638565,-87.91997537,122.166361
0,80,0,0,0,0,1,15,3,10,9,5,-12,0,44,46,34.24638565,-81.7037504,115.950136
0,81,0,0,0,0,1,15,4,12,-2,3,-10,0,44,46,34.24638565,-91.05665211,125.3030378
0,82,0,0,0,0,1,15,4,5,5,4,-14,0,44,46,34.24638565,-85.34005464,119.5864403
0,83,0,0,0,0,1,15,4,6,6,4,-10,0,44,46,34.24638565,-83.78393591,118.0303216
0,87,0,0,0,0,1,15,3,10,9,7,-14,0,44,46,34.24638565,-82.56293553,116.8093212
0,88,0,0,0,0,1,15,3,8,10,6,-15,0,44,46,34.24638565,-81.53052795,115.7769136
0,89,0,0,0,0,1,15,3,4,13,9,-14,0,44,46,34.24638565,-77.76429709,112.0106827
0,90,0,0,0,0,1,15,3,10,4,3,-19,0,44,46,34.24638565,-85.22553358,119.4719192
0,91,0,0,0,0,1,15,4,4,5,4,-14,0,44,46,34.24638565,-84.05450751,118.3008932
0,93,0,0,0,0,1,15,4,10,-2,3,-17,0,44,46,34.24638565,-93.06163848,127.3080241
0,94,0,0,0,0,1,15,2,10,14,10,-17,0,44,46,34.24638565,-77.89384879,112.1402344
0,95,0,0,0,0,1,15,4,8,1,4,-15,0,44,46,34.24638565,-89.41319043,123.6595761
0,96,0,0,0,0,1,15,3,7,11,7,-12,0,44,46,34.24638565,-79.49402949,113.7404151
0,97,0,0,0,0,1,15,4,6,4.5,3,-15.5,0.5,44,46,34.24638565,-88.0499571,122.2963427
0,99,0,0,0,0,1,15,3,7,12,9,-12,0,44,46,34.24638565,-79.49402949,113.7404151
0,0,0,0,0,0,1,15,3,10,4,3,-20,0,44,48,34.24638565,-85.740034,119.9864197
0,1,0,0,0,0,1,15,3,12,7,4,-9,0,44,48,34.24638565,-81.95539851,116.2017842
0,2,0,0,0,0,1,15,4,7,3,3,-14,0,44,48,34.24638565,-87.0238529,121.2702385
0,4,0,0,0,0,1,15,4,8,1,3,-15,2,44,48,34.24638565,-89.06487329,123.3112589
