tx_beam,rx_beam,tx_beam_az,rx_beam_az,tx_beam_el,rx_beam_el,mcs,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
0,0,0,0,0,0,1,12,4,7,-1,3,-18,0,42,45,31.10610633,-89.89630474,121.0024111
0,1,0,0,0,0,1,12,4,10,0,3,-14,0,42,45,31.10610633,-91.49664571,122.602752
0,4,0,0,0,0,1,12,4,11,-1,3,-12,0,42,45,31.10610633,-91.13572178,122.2418281
0,5,0,0,0,0,1,12,4,10,-3,3,-15,0,42,45,31.10610633,-92.0564535,123.1625598
0,8,0,0,0,0,1,12,4,7,1,3,-18,0,42,45,31.10610633,-89.89630474,121.0024111
0,18,0,0,0,0,1,12,4,11,-3,3,-11,0,42,45,31.10610633,-90.57060756,121.6767139
0,24,0,0,0,0,1,12,4,11,-3,3,-14,0,42,45,31.10610633,-92.26595021,123.3720565
0,25,0,0,0,0,1,12,4,12,-2,3,-11,0,42,45,31.10610633,-91.71025229,122.8163586
0,36,0,0,0,0,1,12,4,7,4,3,-16,0,42,45,31.10610633,-88.68352776,119.7896341
0,37,0,0,0,0,1,12,4,4,4,3,-17,0,42,45,31.10610633,-86.36342288,117.4695292
0,45,0,0,0,0,1,12,4,12,-7,3,-12,0,42,45,31.10610633,-92.25595829,123.3620646
0,52,0,0,0,0,1,12,4,11,-2,3,-15,0,42,45,31.10610633,-92.83106443,123.9371708
0,54,0,0,0,0,1,12,4,11,-4,1,-15,0,42,45,31.10610633,-92.83106443,123.9371708
0,56,0,0,0,0,1,12,4,9,0,2,-14,0,42,45,31.10610633,-90.46507218,121.5711785
0,59,0,0,0,0,1,12,4,10,-3,3,-12,0,42,45,31.10610633,-90.37703011,121.4831364
0,63,0,0,0,0,1,12,4,6,6,4,-13,0,42,45,31.10610633,-86.24925164,117.355358
0,64,0,0,0,0,1,12,4,8,0,3,-13,0,42,45,31.10610633,-88.2337022,119.3398085
0,65,0,0,0,0,1,12,3,12,8,6,-10,0,42,45,31.10610633,-82.6841442,113.7902505
0,66,0,0,0,0,1,12,4,9,2,3,-10,0,42,45,31.10610633,-87.89943803,119.0055444
0,67,0,0,0,0,1,12,4,7,3,3,-15,0,42,45,31.10610633,-88.05254546,119.1586518
0,68,0,0,0,0,1,12,3,7,10,7,-15,0,42,45,31.10610633,-80.87228554,111.9783919
0,69,0,0,0,0,1,12,4,5,6,5,-14,0,42,45,31.10610633,-85.49337631,116.5994826
0,70,0,0,0,0,1,12,4,7,3,3,-15,0,42,45,31.10610633,-88.05254546,119.1586518
0,71,0,0,0,0,1,12,3,10,7,5,-15,0,42,45,31.10610633,-83.06851613,114.1746225
0,72,0,0,0,0,1,12,4,8,1,3,-16,0,42,45,31.10610633,-90.11032687,121.2164332
0,74,0,0,0,0,1,12,4,9,2,2,-12,0,42,45,31.10610633,-89.4028288,120.5089351
0,75,0,0,0,0,1,12,3,8,10,7,-14,0,42,45,31.10610633,-81.165941,112.2720473
0,76,0,0,0,0,1,12,4,5,7,5,-12,0,42,45,31.10610633,-84.02450118,115.1306075
0,77,0,0,0,0,1,12,3,12,7,5,-12,0,42,45,31.10610633,-83.63907543,114.7451818
0,78,0,0,0,0,1,12,3,11,7,5,-16,0,42,45,31.10610633,-84.76580847,115.8719148
0,79,0,0,0,0,1,12,3,9,7,5,-17,0,42,45,31.10610633,-83.12749702,114.2336033
0,80,0,0,0,0,1,12,4,7,1,3,-16,0,42,45,31.10610633,-88.68352776,119.7896341
0,81,0,0,0,0,1,12,3,11,8,5,-14,0,42,45,31.10610633,-83.60262374,114.7087301
0,82,0,0,0,0,1,12,4,11,0,2,-9,0,42,45,31.10610633,-89.44037912,120.5464854
0,83,0,0,0,0,1,12,4,7,3,3,-12,0,42,45,31.10610633,-86.15959855,117.2657049
0,84,0,0,0,0,1,12,4,5,4,4,-14,0,42,45,31.10610633,-85.49337631,116.5994826
0,85,0,0,0,0,1,12,3,9,8,7,-16,0,42,45,31.10610633,-82.71152978,113.8176361
0,86,0,0,0,0,1,12,3,9,9,7,-15,0,42,45,31.10610633,-82.29556255,113.4016689
0,87,0,0,0,0,1,12,3,8,9,7,-15,0,42,45,31.10610633,-81.60842278,112.7145291
0,88,0,0,0,0,1,12,3,10,9,6,-13,0,42,45,31.10610633,-82.20933099,113.3154373
0,89,0,0,0,0,1,12,4,9,-1,3,-16,0,42,45,31.10610633,-91.52731557,122.6334219
0,90,0,0,0,0,1,12,3,10,9,7,-12,0,42,45,31.10610633,-81.77973842,112.8858447
0,91,0,0,0,0,1,12,3,12,8,5,-11,0,42,45,31.10610633,-83.16160981,114.2677161
0,92,0,0,0,0,1,12,3,11,7,6,-12,0,42,45,31.10610633,-82.70626035,113.8123667
0,93,0,0,0,0,1,12,4,4,6,5,-15,0,42,45,31.10610633,-84.89632469,116.002431
0,94,0,0,0,0,1,12,3,8,11,8,-15,0,42,45,31.10610633,-81.60842278,112.7145291
0,95,0,0,0,0,1,12,3,12,8,6,-11,0,42,45,31.10610633,-83.16160981,114.2677161
0,97,0,0,0,0,1,12,4,5,4,4,-17,0,42,45,31.10610633,-87.70380501,118.8099113
0,98,0,0,0,0,1,12,3,10,8,6,-14,0,42,45,31.10610633,-82.63892356,113.7450299
0,99,0,0,0,0,1,12,4,7,4,4,-15,0,42,45,31.10610633,-88.05254546,119.1586518
0,0,0,0,0,0,1,12,4,9,1,3,-11,0,42,45,31.10610633,-88.71852128,119.8246276
0,1,0,0,0,0,1,12,4,10,-3,3,-15,0,42,45,31.10610633,-92.0564535,123.1625598
0,3,0,0,0,0,1,12,4,13,-1,3,-8,0,42,45,31.10610633,-90.82073229,121.9268386
0,4,0,0,0,0,1,12,4,11,0,3,-12,0,42,45,31.10610633,-91.13572178,122.2418281
0,7,0,0,0,0,1,12,4,10,0,3,-15,0,42,45,31.10610633,-92.0564535,123.1625598
0,8,0,0,0,0,1,12,4,10,0,3,-12,0,42,45,31.10610633,-90.37703011,121.4831364
0,25,0,0,0,0,1,12,4,10,-6,0,-16,0,42,45,31.10610633,-92.6162613,123.7223676
0,35,0,0,0,0,1,12,4,11,-2,3,-15,0,42,45,31.10610633,-92.83106443,123.9371708
0,36,0,0,0,0,1,12,4,6,5,4,-14,0,42,45,31.10610633,-87.03582707,118.1419334
0,37,0,0,0,0,1,12,4,6,4,3,-14,0,42,45,31.10610633,-87.03582707,118.1419334
0,42,0,0,0,0,1,12,4,10,-5,1,-14,0,42,45,31.10610633,-91.49664571,122.602752
0,43,0,0,0,0,1,12,4,11,-3,3,-14,0,42,45,31.10610633,-92.26595021,123.3720565
0,48,0,0,0,0,1,12,4,11,-7,1,-15,0,42,45,31.10610633,-92.83106443,123.9371708
0,51,0,0,0,0,1,12,4,12,-6,3,-15,0,42,45,31.10610633,-93.8930763,124.9991826
0,52,0,0,0,0,1,12,4,12,-5,3,-12,0,42,45,31.10610633,-92.25595829,123.3620646
0,54,0,0,0,0,1,12,4,13,-4,3,-8,0,42,45,31.10610633,-90.82073229,121.9268386
0,56,0,0,0,0,1,12,4,9,1,3,-13,0,42,45,31.10610633,-89.93395049,121.0400568
0,58,0,0,0,0,1,12,4,11,-5,2,-15,0,42,45,31.10610633,-92.83106443,123.9371708
0,62,0,0,0,0,1,12,4,10,0,3,-11,0,42,45,31.10610633,-89.81722231,120.9233286
0,63,0,0,0,0,1,12,3,11,7,5,-14,0,42,45,31.10610633,-83.60262374,114.7087301
0,64,0,0,0,0,1,12,4,9,-2,3,-15,0,42,45,31.10610633,-90.99619387,122.1023002
0,65,0,0,0,0,1,12,3,11,8,6,-11,0,42,45,31.10610633,-82.25807865,113.364185
0,66,0,0,0,0,1,12,4,8,1,3,-16,0,42,45,31.10610633,-90.11032687,121.2164332
0,67,0,0,0,0,1,12,3,14,6,4,-10,0,42,45,31.10610633,-84.60264669,115.708753
0,68,0,0,0,0,1,12,3,7,11,8,-15,0,42,45,31.10610633,-80.87228554,111.9783919
0,69,0,0,0,0,1,12,3,11,7,6,-15,0,42,45,31.10610633,-84.05080544,115.1569118
0,70,0,0,0,0,1,12,4,8,3,3,-12,0,42,45,31.10610633,-87.54783606,118.6539424
0,71,0,0,0,0,1,12,3,9,9,7,-14,0,42,45,31.10610633,-81.87959532,112.9857016
0,72,0,0,0,0,1,12,4,5,6,4,-15,0,42,45,31.10610633,-86.24130059,117.3474069
0,73,0,0,0,0,1,12,4,10,0,3,-15,0,42,45,31.10610633,-92.0564535,123.1625598
