tx_beam,rx_beam,tx_beam_az,rx_beam_az,tx_beam_el,rx_beam_el,mcs,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
0,0,0,0,0,0,1,21,4,6,0,3,-17,0,46,46,40.86876567,-89.20760982,130.0763755
0,2,0,0,0,0,1,21,4,9,-1,3,-15,0,46,46,40.86876567,-90.88629334,131.755059
0,5,0,0,0,0,1,21,4,11,-1,3,-12,0,46,46,40.86876567,-91.02194711,131.8907128
0,6,0,0,0,0,1,21,4,11,-2,3,-12,0,46,46,40.86876567,-91.02194711,131.8907128
0,9,0,0,0,0,1,21,4,8,1,3,-15,0,46,46,40.86876567,-89.41319043,130.2819561
0,10,0,0,0,0,1,21,4,10,-2,3,-12,0,46,46,40.86876567,-90.26259949,131.1313652
0,18,0,0,0,0,1,21,4,9,-2,3,-14,0,46,46,40.86876567,-90.35517165,131.2239373
0,19,0,0,0,0,1,21,4,9,-2,3,-17,0,46,46,40.86876567,-91.94853673,132.8173024
0,25,0,0,0,0,1,21,4,12,-3,3,-11,0,46,46,40.86876567,-91.60235812,132.4711238
0,26,0,0,0,0,1,21,4,10,-1,3,-12,0,46,46,40.86876567,-90.26259949,131.1313652
0,31,0,0,0,0,1,21,4,11,-4,3,-15,0,46,46,40.86876567,-92.71728977,133.5860554
0,37,0,0,0,0,1,21,4,8,0,3,-15,0,46,46,40.86876567,-89.41319043,130.2819561
0,38,0,0,0,0,1,21,4,7,4,3,-12,0,46,46,40.86876567,-86.02702846,126.8957941
0,51,0,0,0,0,1,21,4,11,-5,3,-13,0,46,46,40.86876567,-91.58706133,132.455827
0,53,0,0,0,0,1,21,4,10,-3,3,-14,0,46,46,40.86876567,-91.38221509,132.2509808
0,55,0,0,0,0,1,21,4,12,-4,3,-12,0,46,46,40.86876567,-92.14806412,133.0168298
0,63,0,0,0,0,1,21,4,8,-2,3,-21,0,46,46,40.86876567,-92.87341209,133.7421778
0,64,0,0,0,0,1,21,3,6,10,7,-14,0,46,46,40.86876567,-79.68474213,120.5535078
0,65,0,0,0,0,1,21,4,5,6,3,-14,0,46,46,40.86876567,-85.34005464,126.2088203
0,66,0,0,0,0,1,21,3,9,8,6,-15,0,46,46,40.86876567,-82.22203334,123.090799
0,67,0,0,0,0,1,21,4,7,1,3,-15,0,46,46,40.86876567,-87.91997537,128.788741
0,68,0,0,0,0,1,21,3,10,8,5,-12,0,46,46,40.86876567,-81.7037504,122.5725161
0,69,0,0,0,0,1,21,4,5,6,5,-16,0,46,46,40.86876567,-86.81855185,127.6873175
0,70,0,0,0,0,1,21,4,9,-1,3,-14,0,46,46,40.86876567,-90.35517165,131.2239373
0,71,0,0,0,0,1,21,3,11,7,5,-12,0,46,46,40.86876567,-82.62718952,123.4959552
0,72,0,0,0,0,1,21,4,5,5,3,-13,0,46,46,40.86876567,-84.56958439,125.4383501
0,73,0,0,0,0,1,21,4,9,2,3,-14,0,46,46,40.86876567,-90.35517165,131.2239373
0,74,0,0,0,0,1,21,4,7,3,3,-15,0,46,46,40.86876567,-87.91997537,128.788741
0,75,0,0,0,0,1,21,3,13,3,4,-16,0,46,46,40.86876567,-87.39799046,128.2667561
0,76,0,0,0,0,1,21,3,10,9,6,-11,0,46,46,40.86876567,-81.27415783,122.1429235
0,77,0,0,0,0,1,21,4,5,4,4,-17,0,46,46,40.86876567,-87.54980406,128.4185697
0,78,0,0,0,0,1,21,4,9,3,3,-12,0,46,46,40.86876567,-89.29292826,130.1616939
0,79,0,0,0,0,1,21,3,12,7,6,-12,0,46,46,40.86876567,-83.55531541,124.4240811
0,80,0,0,0,0,1,21,3,12,6,5,-11,0,46,46,40.86876567,-83.07784979,123.9466155
0,81,0,0,0,0,1,21,3,9,8,6,-14,0,46,46,40.86876567,-81.80606611,122.6748318
0,82,0,0,0,0,1,21,4,7,2,3,-15,0,46,46,40.86876567,-87.91997537,128.788741
0,83,0,0,0,0,1,21,3,13,5,4,-11,0,46,46,40.86876567,-83.40168402,124.2704497
0,84,0,0,0,0,1,21,3,12,9,6,-8,0,46,46,40.86876567,-81.64545294,122.5142186
0,85,0,0,0,0,1,21,4,7,1,3,-15,0,46,46,40.86876567,-87.91997537,128.788741
0,87,0,0,0,0,1,21,3,8,10,7,-14,0,46,46,40.86876567,-81.08804617,121.9568118
0,88,0,0,0,0,1,21,4,8,1,3,-14,0,46,46,40.86876567,-88.77633914,129.6451048
0,89,0,0,0,0,1,21,4,4,5,4,-17,0,46,46,40.86876567,-86.21395642,127.0827221
0,90,0,0,0,0,1,21,3,8,9,7,-15,0,46,46,40.86876567,-81.53052795,122.3992936
0,91,0,0,0,0,1,21,3,9,9,7,-12,0,46,46,40.86876567,-80.97413165,121.8428973
0,92,0,0,0,0,1,21,3,8,10,7,-14,0,46,46,40.86876567,-81.08804617,121.9568118
0,94,0,0,0,0,1,21,4,11,1,3,-12,0,46,46,40.86876567,-91.02194711,131.8907128
0,95,0,0,0,0,1,21,3,5,14,9,-14,0,46,46,40.86876567,-79.06897257,119.9377382
0,96,0,0,0,0,1,21,4,10,0,3,-15,0,46,46,40.86876567,-91.94202289,132.8107886
0,97,0,0,0,0,1,21,3,11,7,4,-14,0,46,46,40.86876567,-83.52355291,124.3923186
0,98,0,0,0,0,1,21,3,7,12,7,-15,0,46,46,40.86876567,-80.79717775,121.6659434
0,99,0,0,0,0,1,21,3,6,12,8,-15,0,46,46,40.86876567,-80.11003455,120.9788002
0,0,0,0,0,0,1,21,4,10,-2,3,-12,0,46,47,40.86876567,-90.14816887,131.0169345
0,1,0,0,0,0,1,21,4,11,-4,3,-12,0,46,47,40.86876567,-90.90817245,131.7769381
0,2,0,0,0,0,1,21,4,9,-1,2,-15,0,46,47,40.86876567,-90.77639281,131.6451585
0,5,0,0,0,0,1,21,4,10,-2,3,-15,0,46,47,40.86876567,-91.82759227,132.6963579
0,6,0,0,0,0,1,21,4,11,-2,3,-13,0,46,47,40.86876567,-91.47328667,132.3420523
0,9,0,0,0,0,1,21,4,7,1,3,-15,0,46,47,40.86876567,-87.78740528,128.656171
0,10,0,0,0,0,1,21,4,10,-3,3,-14,0,46,47,40.86876567,-91.26778447,132.1365501
0,18,0,0,0,0,1,21,4,9,-1,3,-14,0,46,47,40.86876567,-90.24527112,131.1140368
0,19,0,0,0,0,1,21,4,10,-2,3,-16,0,46,47,40.86876567,-92.38740006,133.2561657
0,33,0,0,0,0,1,21,0,0,-3,3,-10,0,46,47,40.86876567,nan,nan
0,34,0,0,0,0,1,21,0,0,-3,3,-10,0,46,47,40.86876567,nan,nan
0,35,0,0,0,0,1,21,4,13,-7,3,-16,0,46,47,40.86876567,-95.24643837,136.115204
0,37,0,0,0,0,1,21,4,9,3,3,-11,0,46,47,40.86876567,-88.3795493,129.248315
0,38,0,0,0,0,1,21,4,6,4,3,-14,0,46,47,40.86876567,-86.70436083,127.5731265
0,53,0,0,0,0,1,21,4,12,-4,3,-8,0,46,47,40.86876567,-89.85734593,130.7261116
0,55,0,0,0,0,1,21,4,12,-2,3,-9,0,46,47,40.86876567,-90.40305194,131.2718176
0,63,0,0,0,0,1,21,4,11,-1,3,-11,0,46,47,40.86876567,-90.34305823,131.2118239
0,64,0,0,0,0,1,21,3,6,9,6,-15,0,46,47,40.86876567,-80.03800846,120.9067741
0,65,0,0,0,0,1,21,3,10,6,4,-18,0,46,47,40.86876567,-84.25253466,125.1213003
0,66,0,0,0,0,1,21,3,9,8,5,-18,0,46,47,40.86876567,-83.39640583,124.2651715
0,67,0,0,0,0,1,21,4,9,2,3,-11,0,46,47,40.86876567,-88.3795493,129.248315
0,68,0,0,0,0,1,21,3,9,7,5,-17,0,46,47,40.86876567,-82.9804386,123.8492043
0,69,0,0,0,0,1,21,4,6,5,5,-17,0,46,47,40.86876567,-89.06408713,129.9328528
0,70,0,0,0,0,1,21,4,11,0,3,-11,0,46,47,40.86876567,-90.34305823,131.2118239
0,71,0,0,0,0,1,21,3,12,6,4,-14,0,46,47,40.86876567,-84.57162604,125.4403917
0,72,0,0,0,0,1,21,3,11,5,3,-15,0,46,47,40.86876567,-83.89266378,124.7614295
0,73,0,0,0,0,1,21,4,10,-2,3,-18,0,46,47,40.86876567,-93.50701566,134.3757813
